inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,13,13,14,13,13,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
45,44,43,41,38,36,34,31,30,28,29,26,25,25,22,21,21,18,17,16,13,12,13,11,11,14,13,15,15,17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,30,30,27,27,26,23,23,22,19,19,17,15,13,11,12,10,12,14,12,14,17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,20,19,17,14,13,11,9,10,12,11,13,15,15,17,19,20,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,14,13,11,8,9,10,12,12,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5,3,2,2,5,5,7,7,9,10,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9,8,8,5,4,3,0,3,3,5,6,9,7,9,12,11,13,16,16,17,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,15,12,13,10,10,9,6,6,5,2,3,1,2,4,7,6,8,10,10,12,14,14,16,19,19,21,22,23,inf,inf,inf,inf,inf
inf,inf,inf,inf,25,24,22,19,17,16,13,14,11,12,11,8,6,5,4,5,2,3,4,4,5,inf,inf,inf,inf,13,14,15,16,19,20,21,24,23,25,28,29,31,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,21,22,24,25,28,29,31,inf
